Location,Year,Date,Time,LoggerID,Measurement,Unit,Value,DaysAfterPlanting
"Bhopal, India",2017,2017-11-09,06:36:00,Weather Station,Day Length,Hours,11,0
"Bhopal, India",2017,2017-11-10,06:36:36,Weather Station,Day Length,Hours,10.98,1
"Bhopal, India",2017,2017-11-11,06:37:12,Weather Station,Day Length,Hours,10.97,2
"Bhopal, India",2017,2017-11-12,06:38:24,Weather Station,Day Length,Hours,10.95,3
"Bhopal, India",2017,2017-11-13,06:39:00,Weather Station,Day Length,Hours,10.93,4
"Bhopal, India",2017,2017-11-14,06:39:36,Weather Station,Day Length,Hours,10.92,5
"Bhopal, India",2017,2017-11-15,06:40:12,Weather Station,Day Length,Hours,10.9,6
"Bhopal, India",2017,2017-11-16,06:40:48,Weather Station,Day Length,Hours,10.88,7
"Bhopal, India",2017,2017-11-17,06:41:24,Weather Station,Day Length,Hours,10.87,8
"Bhopal, India",2017,2017-11-18,06:42:00,Weather Station,Day Length,Hours,10.85,9
"Bhopal, India",2017,2017-11-19,06:42:36,Weather Station,Day Length,Hours,10.84,10
"Bhopal, India",2017,2017-11-20,06:43:12,Weather Station,Day Length,Hours,10.82,11
"Bhopal, India",2017,2017-11-21,06:44:24,Weather Station,Day Length,Hours,10.81,12
"Bhopal, India",2017,2017-11-22,06:45:00,Weather Station,Day Length,Hours,10.79,13
"Bhopal, India",2017,2017-11-23,06:45:36,Weather Station,Day Length,Hours,10.78,14
"Bhopal, India",2017,2017-11-24,06:46:12,Weather Station,Day Length,Hours,10.77,15
"Bhopal, India",2017,2017-11-25,06:46:48,Weather Station,Day Length,Hours,10.75,16
"Bhopal, India",2017,2017-11-26,06:47:24,Weather Station,Day Length,Hours,10.74,17
"Bhopal, India",2017,2017-11-27,06:48:00,Weather Station,Day Length,Hours,10.73,18
"Bhopal, India",2017,2017-11-28,06:49:12,Weather Station,Day Length,Hours,10.72,19
"Bhopal, India",2017,2017-11-29,06:49:48,Weather Station,Day Length,Hours,10.71,20
"Bhopal, India",2017,2017-11-30,06:50:24,Weather Station,Day Length,Hours,10.7,21
"Bhopal, India",2017,2017-12-01,06:51:00,Weather Station,Day Length,Hours,10.68,22
"Bhopal, India",2017,2017-12-02,06:51:36,Weather Station,Day Length,Hours,10.67,23
"Bhopal, India",2017,2017-12-03,06:52:12,Weather Station,Day Length,Hours,10.67,24
"Bhopal, India",2017,2017-12-04,06:52:48,Weather Station,Day Length,Hours,10.66,25
"Bhopal, India",2017,2017-12-05,06:54:00,Weather Station,Day Length,Hours,10.65,26
"Bhopal, India",2017,2017-12-06,06:54:36,Weather Station,Day Length,Hours,10.64,27
"Bhopal, India",2017,2017-12-07,06:55:12,Weather Station,Day Length,Hours,10.63,28
"Bhopal, India",2017,2017-12-08,06:55:48,Weather Station,Day Length,Hours,10.62,29
"Bhopal, India",2017,2017-12-09,06:56:24,Weather Station,Day Length,Hours,10.62,30
"Bhopal, India",2017,2017-12-10,06:57:00,Weather Station,Day Length,Hours,10.61,31
"Bhopal, India",2017,2017-12-11,06:57:36,Weather Station,Day Length,Hours,10.61,32
"Bhopal, India",2017,2017-12-12,06:58:12,Weather Station,Day Length,Hours,10.6,33
"Bhopal, India",2017,2017-12-13,06:58:48,Weather Station,Day Length,Hours,10.6,34
"Bhopal, India",2017,2017-12-14,06:59:24,Weather Station,Day Length,Hours,10.59,35
"Bhopal, India",2017,2017-12-15,07:00:00,Weather Station,Day Length,Hours,10.59,36
"Bhopal, India",2017,2017-12-16,07:00:36,Weather Station,Day Length,Hours,10.59,37
"Bhopal, India",2017,2017-12-17,07:01:12,Weather Station,Day Length,Hours,10.58,38
"Bhopal, India",2017,2017-12-18,07:01:48,Weather Station,Day Length,Hours,10.58,39
"Bhopal, India",2017,2017-12-19,07:02:24,Weather Station,Day Length,Hours,10.58,40
"Bhopal, India",2017,2017-12-20,07:03:00,Weather Station,Day Length,Hours,10.58,41
"Bhopal, India",2017,2017-12-21,07:03:00,Weather Station,Day Length,Hours,10.58,42
"Bhopal, India",2017,2017-12-22,07:03:36,Weather Station,Day Length,Hours,10.58,43
"Bhopal, India",2017,2017-12-23,07:04:12,Weather Station,Day Length,Hours,10.58,44
"Bhopal, India",2017,2017-12-24,07:04:48,Weather Station,Day Length,Hours,10.58,45
"Bhopal, India",2017,2017-12-25,07:05:24,Weather Station,Day Length,Hours,10.58,46
"Bhopal, India",2017,2017-12-26,07:05:24,Weather Station,Day Length,Hours,10.58,47
"Bhopal, India",2017,2017-12-27,07:06:00,Weather Station,Day Length,Hours,10.59,48
"Bhopal, India",2017,2017-12-28,07:06:36,Weather Station,Day Length,Hours,10.59,49
"Bhopal, India",2017,2017-12-29,07:06:36,Weather Station,Day Length,Hours,10.59,50
"Bhopal, India",2017,2017-12-30,07:07:12,Weather Station,Day Length,Hours,10.6,51
"Bhopal, India",2017,2017-12-31,07:07:12,Weather Station,Day Length,Hours,10.6,52
"Bhopal, India",2017,2018-01-01,07:07:48,Weather Station,Day Length,Hours,10.61,53
"Bhopal, India",2017,2018-01-02,07:07:48,Weather Station,Day Length,Hours,10.62,54
"Bhopal, India",2017,2018-01-03,07:08:24,Weather Station,Day Length,Hours,10.62,55
"Bhopal, India",2017,2018-01-04,07:08:24,Weather Station,Day Length,Hours,10.63,56
"Bhopal, India",2017,2018-01-05,07:09:00,Weather Station,Day Length,Hours,10.64,57
"Bhopal, India",2017,2018-01-06,07:09:00,Weather Station,Day Length,Hours,10.64,58
"Bhopal, India",2017,2018-01-07,07:09:00,Weather Station,Day Length,Hours,10.65,59
"Bhopal, India",2017,2018-01-08,07:09:00,Weather Station,Day Length,Hours,10.66,60
"Bhopal, India",2017,2018-01-09,07:09:36,Weather Station,Day Length,Hours,10.67,61
"Bhopal, India",2017,2018-01-10,07:09:36,Weather Station,Day Length,Hours,10.68,62
"Bhopal, India",2017,2018-01-11,07:09:36,Weather Station,Day Length,Hours,10.69,63
"Bhopal, India",2017,2018-01-12,07:09:36,Weather Station,Day Length,Hours,10.7,64
"Bhopal, India",2017,2018-01-13,07:09:36,Weather Station,Day Length,Hours,10.71,65
"Bhopal, India",2017,2018-01-14,07:09:36,Weather Station,Day Length,Hours,10.73,66
"Bhopal, India",2017,2018-01-15,07:09:36,Weather Station,Day Length,Hours,10.74,67
"Bhopal, India",2017,2018-01-16,07:09:36,Weather Station,Day Length,Hours,10.75,68
"Bhopal, India",2017,2018-01-17,07:09:36,Weather Station,Day Length,Hours,10.76,69
"Bhopal, India",2017,2018-01-18,07:09:36,Weather Station,Day Length,Hours,10.78,70
"Bhopal, India",2017,2018-01-19,07:09:36,Weather Station,Day Length,Hours,10.79,71
"Bhopal, India",2017,2018-01-20,07:09:36,Weather Station,Day Length,Hours,10.8,72
"Bhopal, India",2017,2018-01-21,07:09:00,Weather Station,Day Length,Hours,10.82,73
"Bhopal, India",2017,2018-01-22,07:09:00,Weather Station,Day Length,Hours,10.83,74
"Bhopal, India",2017,2018-01-23,07:09:00,Weather Station,Day Length,Hours,10.85,75
"Bhopal, India",2017,2018-01-24,07:08:24,Weather Station,Day Length,Hours,10.86,76
"Bhopal, India",2017,2018-01-25,07:08:24,Weather Station,Day Length,Hours,10.88,77
"Bhopal, India",2017,2018-01-26,07:08:24,Weather Station,Day Length,Hours,10.9,78
"Bhopal, India",2017,2018-01-27,07:07:48,Weather Station,Day Length,Hours,10.91,79
"Bhopal, India",2017,2018-01-28,07:07:48,Weather Station,Day Length,Hours,10.93,80
"Bhopal, India",2017,2018-01-29,07:07:12,Weather Station,Day Length,Hours,10.95,81
"Bhopal, India",2017,2018-01-30,07:06:36,Weather Station,Day Length,Hours,10.96,82
"Bhopal, India",2017,2018-01-31,07:06:36,Weather Station,Day Length,Hours,10.98,83
"Bhopal, India",2017,2018-02-01,07:06:00,Weather Station,Day Length,Hours,11,84
"Bhopal, India",2017,2018-02-02,07:05:24,Weather Station,Day Length,Hours,11.02,85
"Bhopal, India",2017,2018-02-03,07:05:24,Weather Station,Day Length,Hours,11.03,86
