Location,Year,Date,Time,LoggerID,Measurement,Unit,Value,DaysAfterPlanting
"Bhopal, India",2017,2018-02-04,07:04:48,Weather Station,Day Length,Hours,11.05,87
"Bhopal, India",2017,2018-02-05,07:04:12,Weather Station,Day Length,Hours,11.07,88
"Bhopal, India",2017,2018-02-06,07:03:36,Weather Station,Day Length,Hours,11.09,89
"Bhopal, India",2017,2018-02-07,07:03:00,Weather Station,Day Length,Hours,11.11,90
"Bhopal, India",2017,2018-02-08,07:03:00,Weather Station,Day Length,Hours,11.13,91
"Bhopal, India",2017,2018-02-09,07:02:24,Weather Station,Day Length,Hours,11.15,92
"Bhopal, India",2017,2018-02-10,07:01:48,Weather Station,Day Length,Hours,11.17,93
"Bhopal, India",2017,2018-02-11,07:01:12,Weather Station,Day Length,Hours,11.19,94
"Bhopal, India",2017,2018-02-12,07:00:36,Weather Station,Day Length,Hours,11.21,95
"Bhopal, India",2017,2018-02-13,07:00:00,Weather Station,Day Length,Hours,11.23,96
"Bhopal, India",2017,2018-02-14,06:59:24,Weather Station,Day Length,Hours,11.25,97
"Bhopal, India",2017,2018-02-15,06:58:12,Weather Station,Day Length,Hours,11.27,98
"Bhopal, India",2017,2018-02-16,06:57:36,Weather Station,Day Length,Hours,11.29,99
"Bhopal, India",2017,2018-02-17,06:57:00,Weather Station,Day Length,Hours,11.31,100
"Bhopal, India",2017,2018-02-18,06:56:24,Weather Station,Day Length,Hours,11.33,101
"Bhopal, India",2017,2018-02-19,06:55:48,Weather Station,Day Length,Hours,11.35,102
"Bhopal, India",2017,2018-02-20,06:55:12,Weather Station,Day Length,Hours,11.38,103
"Bhopal, India",2017,2018-02-21,06:54:00,Weather Station,Day Length,Hours,11.4,104
"Bhopal, India",2017,2018-02-22,06:53:24,Weather Station,Day Length,Hours,11.42,105
"Bhopal, India",2017,2018-02-23,06:52:48,Weather Station,Day Length,Hours,11.44,106
"Bhopal, India",2017,2018-02-24,06:51:36,Weather Station,Day Length,Hours,11.46,107
"Bhopal, India",2017,2018-02-25,06:51:00,Weather Station,Day Length,Hours,11.48,108
"Bhopal, India",2017,2018-02-26,06:50:24,Weather Station,Day Length,Hours,11.5,109
"Bhopal, India",2017,2018-02-27,06:49:12,Weather Station,Day Length,Hours,11.53,110
"Bhopal, India",2017,2018-02-28,06:48:36,Weather Station,Day Length,Hours,11.55,111
"Bhopal, India",2017,2018-03-01,06:47:24,Weather Station,Day Length,Hours,11.57,112
"Bhopal, India",2017,2018-03-02,06:46:48,Weather Station,Day Length,Hours,11.59,113
"Bhopal, India",2017,2018-03-03,06:46:12,Weather Station,Day Length,Hours,11.61,114
"Bhopal, India",2017,2018-03-04,06:45:00,Weather Station,Day Length,Hours,11.64,115
"Bhopal, India",2017,2018-03-05,06:44:24,Weather Station,Day Length,Hours,11.66,116
"Bhopal, India",2017,2018-03-06,06:43:12,Weather Station,Day Length,Hours,11.68,117
"Bhopal, India",2017,2018-03-07,06:42:36,Weather Station,Day Length,Hours,11.7,118
"Bhopal, India",2017,2018-03-08,06:41:24,Weather Station,Day Length,Hours,11.73,119
"Bhopal, India",2017,2018-03-09,06:40:48,Weather Station,Day Length,Hours,11.75,120
"Bhopal, India",2017,2018-03-10,06:39:36,Weather Station,Day Length,Hours,11.77,121
"Bhopal, India",2017,2018-03-11,06:38:24,Weather Station,Day Length,Hours,11.79,122
"Bhopal, India",2017,2018-03-12,06:37:48,Weather Station,Day Length,Hours,11.82,123
"Bhopal, India",2017,2018-03-13,06:36:36,Weather Station,Day Length,Hours,11.84,124
"Bhopal, India",2017,2018-03-14,06:36:00,Weather Station,Day Length,Hours,11.86,125
"Bhopal, India",2017,2018-03-15,06:34:48,Weather Station,Day Length,Hours,11.88,126
"Bhopal, India",2017,2018-03-16,06:34:12,Weather Station,Day Length,Hours,11.91,127
"Bhopal, India",2017,2018-03-17,06:33:00,Weather Station,Day Length,Hours,11.93,128
"Bhopal, India",2017,2018-03-18,06:31:48,Weather Station,Day Length,Hours,11.95,129
"Bhopal, India",2017,2018-03-19,06:31:12,Weather Station,Day Length,Hours,11.97,130
"Bhopal, India",2017,2018-03-20,06:30:00,Weather Station,Day Length,Hours,12,131
"Bhopal, India",2017,2018-03-21,06:28:48,Weather Station,Day Length,Hours,12.02,132
"Bhopal, India",2017,2018-03-22,06:28:12,Weather Station,Day Length,Hours,12.04,133
"Bhopal, India",2017,2018-03-23,06:27:00,Weather Station,Day Length,Hours,12.06,134
"Bhopal, India",2017,2018-03-24,06:26:24,Weather Station,Day Length,Hours,12.09,135
"Bhopal, India",2017,2018-03-25,06:25:12,Weather Station,Day Length,Hours,12.11,136
"Bhopal, India",2017,2018-03-26,06:24:00,Weather Station,Day Length,Hours,12.13,137
"Bhopal, India",2017,2018-03-27,06:23:24,Weather Station,Day Length,Hours,12.15,138
"Bhopal, India",2017,2018-03-28,06:22:12,Weather Station,Day Length,Hours,12.18,139
"Bhopal, India",2017,2018-03-29,06:21:00,Weather Station,Day Length,Hours,12.2,140
"Bhopal, India",2017,2018-03-30,06:20:24,Weather Station,Day Length,Hours,12.22,141
"Bhopal, India",2017,2018-03-31,06:19:12,Weather Station,Day Length,Hours,12.24,142
"Bhopal, India",2017,2018-04-01,06:18:36,Weather Station,Day Length,Hours,12.26,143
"Bhopal, India",2017,2017-11-09,,Weather Station,Temperature,C,22.6,0
"Bhopal, India",2017,2017-11-10,,Weather Station,Temperature,C,21.7,1
"Bhopal, India",2017,2017-11-11,,Weather Station,Temperature,C,20.7,2
"Bhopal, India",2017,2017-11-12,,Weather Station,Temperature,C,19.2,3
"Bhopal, India",2017,2017-11-13,,Weather Station,Temperature,C,20.6,4
"Bhopal, India",2017,2017-11-14,,Weather Station,Temperature,C,19.3,5
"Bhopal, India",2017,2017-11-15,,Weather Station,Temperature,C,21.6,6
"Bhopal, India",2017,2017-11-16,,Weather Station,Temperature,C,20.3,7
"Bhopal, India",2017,2017-11-17,,Weather Station,Temperature,C,20.5,8
"Bhopal, India",2017,2017-11-18,,Weather Station,Temperature,C,19.4,9
"Bhopal, India",2017,2017-11-19,,Weather Station,Temperature,C,16,10
"Bhopal, India",2017,2017-11-20,,Weather Station,Temperature,C,19.2,11
"Bhopal, India",2017,2017-11-21,,Weather Station,Temperature,C,17.5,12
"Bhopal, India",2017,2017-11-22,,Weather Station,Temperature,C,18.4,13
"Bhopal, India",2017,2017-11-23,,Weather Station,Temperature,C,17.6,14
"Bhopal, India",2017,2017-11-24,,Weather Station,Temperature,C,18.2,15
"Bhopal, India",2017,2017-11-25,,Weather Station,Temperature,C,17.4,16
"Bhopal, India",2017,2017-11-26,,Weather Station,Temperature,C,18.2,17
"Bhopal, India",2017,2017-11-27,,Weather Station,Temperature,C,18.5,18
"Bhopal, India",2017,2017-11-28,,Weather Station,Temperature,C,19.6,19
"Bhopal, India",2017,2017-11-29,,Weather Station,Temperature,C,19.3,20
"Bhopal, India",2017,2017-11-30,,Weather Station,Temperature,C,20.4,21
"Bhopal, India",2017,2017-12-01,,Weather Station,Temperature,C,18.3,22
"Bhopal, India",2017,2017-12-02,,Weather Station,Temperature,C,16.2,23
"Bhopal, India",2017,2017-12-03,,Weather Station,Temperature,C,15.6,24
"Bhopal, India",2017,2017-12-04,,Weather Station,Temperature,C,16.2,25
"Bhopal, India",2017,2017-12-05,,Weather Station,Temperature,C,16.5,26
"Bhopal, India",2017,2017-12-06,,Weather Station,Temperature,C,18.5,27
"Bhopal, India",2017,2017-12-07,,Weather Station,Temperature,C,17.6,28
"Bhopal, India",2017,2017-12-08,,Weather Station,Temperature,C,16.2,29
"Bhopal, India",2017,2017-12-09,,Weather Station,Temperature,C,17.1,30
"Bhopal, India",2017,2017-12-10,,Weather Station,Temperature,C,15.6,31
"Bhopal, India",2017,2017-12-11,,Weather Station,Temperature,C,17.3,32
"Bhopal, India",2017,2017-12-12,,Weather Station,Temperature,C,19.5,33
"Bhopal, India",2017,2017-12-13,,Weather Station,Temperature,C,16.4,34
"Bhopal, India",2017,2017-12-14,,Weather Station,Temperature,C,16.5,35
"Bhopal, India",2017,2017-12-15,,Weather Station,Temperature,C,19.2,36
"Bhopal, India",2017,2017-12-16,,Weather Station,Temperature,C,17.7,37
"Bhopal, India",2017,2017-12-17,,Weather Station,Temperature,C,15.6,38
"Bhopal, India",2017,2017-12-18,,Weather Station,Temperature,C,14.5,39
"Bhopal, India",2017,2017-12-19,,Weather Station,Temperature,C,16.8,40
"Bhopal, India",2017,2017-12-20,,Weather Station,Temperature,C,16.5,41
"Bhopal, India",2017,2017-12-21,,Weather Station,Temperature,C,14.9,42
"Bhopal, India",2017,2017-12-22,,Weather Station,Temperature,C,14.6,43
"Bhopal, India",2017,2017-12-23,,Weather Station,Temperature,C,14.8,44
"Bhopal, India",2017,2017-12-24,,Weather Station,Temperature,C,16.5,45
"Bhopal, India",2017,2017-12-25,,Weather Station,Temperature,C,14.8,46
"Bhopal, India",2017,2017-12-26,,Weather Station,Temperature,C,13.4,47
"Bhopal, India",2017,2017-12-27,,Weather Station,Temperature,C,15.7,48
"Bhopal, India",2017,2017-12-28,,Weather Station,Temperature,C,16.5,49
"Bhopal, India",2017,2017-12-29,,Weather Station,Temperature,C,15.8,50
"Bhopal, India",2017,2017-12-30,,Weather Station,Temperature,C,14.6,51
"Bhopal, India",2017,2017-12-31,,Weather Station,Temperature,C,14.6,52
"Bhopal, India",2017,2018-01-01,,Weather Station,Temperature,C,13.25,53
"Bhopal, India",2017,2018-01-02,,Weather Station,Temperature,C,13,54
"Bhopal, India",2017,2018-01-03,,Weather Station,Temperature,C,12.36,55
"Bhopal, India",2017,2018-01-04,,Weather Station,Temperature,C,11,56
"Bhopal, India",2017,2018-01-05,,Weather Station,Temperature,C,9.5,57
"Bhopal, India",2017,2018-01-06,,Weather Station,Temperature,C,8.32,58
"Bhopal, India",2017,2018-01-07,,Weather Station,Temperature,C,6.68,59
"Bhopal, India",2017,2018-01-08,,Weather Station,Temperature,C,7.75,60
"Bhopal, India",2017,2018-01-09,,Weather Station,Temperature,C,7.13,61
"Bhopal, India",2017,2018-01-10,,Weather Station,Temperature,C,6.56,62
"Bhopal, India",2017,2018-01-11,,Weather Station,Temperature,C,6.51,63
"Bhopal, India",2017,2018-01-12,,Weather Station,Temperature,C,9.23,64
"Bhopal, India",2017,2018-01-13,,Weather Station,Temperature,C,11.99,65
"Bhopal, India",2017,2018-01-14,,Weather Station,Temperature,C,14.14,66
"Bhopal, India",2017,2018-01-15,,Weather Station,Temperature,C,11.77,67
"Bhopal, India",2017,2018-01-16,,Weather Station,Temperature,C,7.83,68
"Bhopal, India",2017,2018-01-17,,Weather Station,Temperature,C,8.64,69
"Bhopal, India",2017,2018-01-18,,Weather Station,Temperature,C,10.26,70
"Bhopal, India",2017,2018-01-19,,Weather Station,Temperature,C,9.83,71
"Bhopal, India",2017,2018-01-20,,Weather Station,Temperature,C,9.99,72
"Bhopal, India",2017,2018-01-21,,Weather Station,Temperature,C,8.79,73
"Bhopal, India",2017,2018-01-22,,Weather Station,Temperature,C,12.2,74
"Bhopal, India",2017,2018-01-23,,Weather Station,Temperature,C,13,75
"Bhopal, India",2017,2018-01-24,,Weather Station,Temperature,C,7.44,76
"Bhopal, India",2017,2018-01-25,,Weather Station,Temperature,C,8.2,77
"Bhopal, India",2017,2018-01-26,,Weather Station,Temperature,C,5.38,78
"Bhopal, India",2017,2018-01-27,,Weather Station,Temperature,C,6.55,79
"Bhopal, India",2017,2018-01-28,,Weather Station,Temperature,C,7.79,80
"Bhopal, India",2017,2018-01-29,,Weather Station,Temperature,C,8.3,81
"Bhopal, India",2017,2018-01-30,,Weather Station,Temperature,C,9.35,82
"Bhopal, India",2017,2018-01-31,,Weather Station,Temperature,C,10.91,83
"Bhopal, India",2017,2018-02-01,,Weather Station,Temperature,C,11.25,84
"Bhopal, India",2017,2018-02-02,,Weather Station,Temperature,C,10.34,85
"Bhopal, India",2017,2018-02-03,,Weather Station,Temperature,C,12.29,86
"Bhopal, India",2017,2018-02-04,,Weather Station,Temperature,C,11.13,87
"Bhopal, India",2017,2018-02-05,,Weather Station,Temperature,C,12.88,88
"Bhopal, India",2017,2018-02-06,,Weather Station,Temperature,C,13.05,89
"Bhopal, India",2017,2018-02-07,,Weather Station,Temperature,C,15.59,90
"Bhopal, India",2017,2018-02-08,,Weather Station,Temperature,C,11.58,91
"Bhopal, India",2017,2018-02-09,,Weather Station,Temperature,C,11.67,92
"Bhopal, India",2017,2018-02-10,,Weather Station,Temperature,C,10.43,93
"Bhopal, India",2017,2018-02-11,,Weather Station,Temperature,C,14.56,94
"Bhopal, India",2017,2018-02-12,,Weather Station,Temperature,C,15.53,95
"Bhopal, India",2017,2018-02-13,,Weather Station,Temperature,C,12.96,96
"Bhopal, India",2017,2018-02-14,,Weather Station,Temperature,C,13.09,97
"Bhopal, India",2017,2018-02-15,,Weather Station,Temperature,C,8.19,98
"Bhopal, India",2017,2018-02-16,,Weather Station,Temperature,C,9.11,99
"Bhopal, India",2017,2018-02-17,,Weather Station,Temperature,C,11.07,100
"Bhopal, India",2017,2018-02-18,,Weather Station,Temperature,C,12.41,101
"Bhopal, India",2017,2018-02-19,,Weather Station,Temperature,C,15.17,102
"Bhopal, India",2017,2018-02-20,,Weather Station,Temperature,C,16,103
"Bhopal, India",2017,2018-02-21,,Weather Station,Temperature,C,14.5,104
"Bhopal, India",2017,2018-02-22,,Weather Station,Temperature,C,14,105
"Bhopal, India",2017,2018-02-23,,Weather Station,Temperature,C,16.2,106
"Bhopal, India",2017,2018-02-24,,Weather Station,Temperature,C,18.6,107
"Bhopal, India",2017,2018-02-25,,Weather Station,Temperature,C,18.3,108
"Bhopal, India",2017,2018-02-26,,Weather Station,Temperature,C,18.2,109
"Bhopal, India",2017,2018-02-27,,Weather Station,Temperature,C,16.6,110
"Bhopal, India",2017,2018-02-28,,Weather Station,Temperature,C,17.2,111
"Bhopal, India",2017,2018-03-01,,Weather Station,Temperature,C,17.5,112
"Bhopal, India",2017,2018-03-02,,Weather Station,Temperature,C,18.82,113
"Bhopal, India",2017,2018-03-03,,Weather Station,Temperature,C,16.79,114
"Bhopal, India",2017,2018-03-04,,Weather Station,Temperature,C,18.23,115
"Bhopal, India",2017,2018-03-05,,Weather Station,Temperature,C,18.15,116
"Bhopal, India",2017,2018-03-06,,Weather Station,Temperature,C,16.26,117
"Bhopal, India",2017,2018-03-07,,Weather Station,Temperature,C,20.02,118
"Bhopal, India",2017,2018-03-08,,Weather Station,Temperature,C,17.17,119
"Bhopal, India",2017,2018-03-09,,Weather Station,Temperature,C,18.3,120
"Bhopal, India",2017,2018-03-10,,Weather Station,Temperature,C,19.22,121
"Bhopal, India",2017,2018-03-11,,Weather Station,Temperature,C,17.11,122
"Bhopal, India",2017,2018-03-12,,Weather Station,Temperature,C,16.61,123
"Bhopal, India",2017,2018-03-13,,Weather Station,Temperature,C,19.23,124
"Bhopal, India",2017,2018-03-14,,Weather Station,Temperature,C,20.54,125
"Bhopal, India",2017,2018-03-15,,Weather Station,Temperature,C,21.82,126
"Bhopal, India",2017,2018-03-16,,Weather Station,Temperature,C,17.67,127
"Bhopal, India",2017,2018-03-17,,Weather Station,Temperature,C,17.71,128
"Bhopal, India",2017,2018-03-18,,Weather Station,Temperature,C,20.2,129
"Bhopal, India",2017,2018-03-19,,Weather Station,Temperature,C,21.39,130
"Bhopal, India",2017,2018-03-20,,Weather Station,Temperature,C,21.79,131
"Bhopal, India",2017,2018-03-21,,Weather Station,Temperature,C,17.51,132
"Bhopal, India",2017,2018-03-22,,Weather Station,Temperature,C,18.85,133
"Bhopal, India",2017,2018-03-23,,Weather Station,Temperature,C,18.99,134
"Bhopal, India",2017,2018-03-24,,Weather Station,Temperature,C,19.08,135
"Bhopal, India",2017,2018-03-25,,Weather Station,Temperature,C,18.71,136
"Bhopal, India",2017,2018-03-26,,Weather Station,Temperature,C,17.62,137
"Bhopal, India",2017,2018-03-27,,Weather Station,Temperature,C,16.32,138
"Bhopal, India",2017,2018-03-28,,Weather Station,Temperature,C,20.91,139
"Bhopal, India",2017,2018-03-29,,Weather Station,Temperature,C,19.6,140
"Bhopal, India",2017,2018-03-30,,Weather Station,Temperature,C,19,141
"Bhopal, India",2017,2018-03-31,,Weather Station,Temperature,C,19.5,142
"Bhopal, India",2017,2018-04-01,,Weather Station,Temperature,C,22.15,143
"Bhopal, India",2017,2017-11-09,,Weather Station,Temperature,C,30.5,0
"Bhopal, India",2017,2017-11-10,,Weather Station,Temperature,C,29.6,1
"Bhopal, India",2017,2017-11-11,,Weather Station,Temperature,C,27.3,2
"Bhopal, India",2017,2017-11-12,,Weather Station,Temperature,C,28.1,3
"Bhopal, India",2017,2017-11-13,,Weather Station,Temperature,C,28.9,4
"Bhopal, India",2017,2017-11-14,,Weather Station,Temperature,C,29.5,5
"Bhopal, India",2017,2017-11-15,,Weather Station,Temperature,C,30.5,6
"Bhopal, India",2017,2017-11-16,,Weather Station,Temperature,C,28.4,7
"Bhopal, India",2017,2017-11-17,,Weather Station,Temperature,C,26.7,8
"Bhopal, India",2017,2017-11-18,,Weather Station,Temperature,C,25.3,9
"Bhopal, India",2017,2017-11-19,,Weather Station,Temperature,C,27.4,10
"Bhopal, India",2017,2017-11-20,,Weather Station,Temperature,C,27.6,11
"Bhopal, India",2017,2017-11-21,,Weather Station,Temperature,C,27.3,12
"Bhopal, India",2017,2017-11-22,,Weather Station,Temperature,C,27.6,13
"Bhopal, India",2017,2017-11-23,,Weather Station,Temperature,C,26.1,14
"Bhopal, India",2017,2017-11-24,,Weather Station,Temperature,C,28.5,15
"Bhopal, India",2017,2017-11-25,,Weather Station,Temperature,C,27.4,16
"Bhopal, India",2017,2017-11-26,,Weather Station,Temperature,C,26.3,17
"Bhopal, India",2017,2017-11-27,,Weather Station,Temperature,C,30.1,18
"Bhopal, India",2017,2017-11-28,,Weather Station,Temperature,C,29.5,19
"Bhopal, India",2017,2017-11-29,,Weather Station,Temperature,C,30.6,20
"Bhopal, India",2017,2017-11-30,,Weather Station,Temperature,C,28.3,21
"Bhopal, India",2017,2017-12-01,,Weather Station,Temperature,C,26.3,22
"Bhopal, India",2017,2017-12-02,,Weather Station,Temperature,C,25.8,23
"Bhopal, India",2017,2017-12-03,,Weather Station,Temperature,C,25.6,24
"Bhopal, India",2017,2017-12-04,,Weather Station,Temperature,C,24.6,25
"Bhopal, India",2017,2017-12-05,,Weather Station,Temperature,C,23.3,26
"Bhopal, India",2017,2017-12-06,,Weather Station,Temperature,C,21.7,27
"Bhopal, India",2017,2017-12-07,,Weather Station,Temperature,C,25.8,28
"Bhopal, India",2017,2017-12-08,,Weather Station,Temperature,C,26.5,29
"Bhopal, India",2017,2017-12-09,,Weather Station,Temperature,C,26.1,30
"Bhopal, India",2017,2017-12-10,,Weather Station,Temperature,C,26.8,31
"Bhopal, India",2017,2017-12-11,,Weather Station,Temperature,C,27.3,32
"Bhopal, India",2017,2017-12-12,,Weather Station,Temperature,C,25.4,33
"Bhopal, India",2017,2017-12-13,,Weather Station,Temperature,C,25.3,34
"Bhopal, India",2017,2017-12-14,,Weather Station,Temperature,C,26.1,35
"Bhopal, India",2017,2017-12-15,,Weather Station,Temperature,C,26.1,36
"Bhopal, India",2017,2017-12-16,,Weather Station,Temperature,C,25.6,37
"Bhopal, India",2017,2017-12-17,,Weather Station,Temperature,C,24.6,38
"Bhopal, India",2017,2017-12-18,,Weather Station,Temperature,C,25.3,39
"Bhopal, India",2017,2017-12-19,,Weather Station,Temperature,C,25.4,40
"Bhopal, India",2017,2017-12-20,,Weather Station,Temperature,C,24.8,41
"Bhopal, India",2017,2017-12-21,,Weather Station,Temperature,C,23.3,42
