"SubRegion","Area","Area_Short","Locality","District Number","District","Surname","Given Name","Party","Party_Short","Votes","Percent of Votes","Total Votes"
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10001,"Avalon","Chapman","Matthew","Conservative","Cons",12855,31,41731
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10001,"Avalon","Malone","Greg","Green Party","Green",2215,5,41731
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10001,"Avalon","McDonald","Kenneth","Liberal","Libs",19122,46,41731
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10001,"Avalon","Movelle","Lea Mary","New Democratic Party","NDP",7142,17,41731
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10002,"Bonavista--Burin--Trinity","Cooper","Matthew","New Democratic Party","NDP",3855,12,32788
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10002,"Bonavista--Burin--Trinity","Reichel","Kelsey","Green Party","Green",920,3,32788
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10002,"Bonavista--Burin--Trinity","Rogers","Churence","Liberal","Libs",14707,46,32788
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10002,"Bonavista--Burin--Trinity","Vokey","Sharon","Conservative","Cons",12697,40,32788
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10003,"Coast of Bays--Central--Notre Dame","Bracci","Alex","Conservative","Cons",12081,35,34952
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10003,"Coast of Bays--Central--Notre Dame","Joe","Noel","New Democratic Party","NDP",4224,12,34952
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10003,"Coast of Bays--Central--Notre Dame","Simms","Scott","Liberal","Libs",16514,48,34952
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10003,"Coast of Bays--Central--Notre Dame","White","Byron","Green Party","Green",1363,4,34952
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10004,"Labrador","Colbourne","Tyler","Green Party","Green",224,2,11558
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10004,"Labrador","Flemming","Larry","Conservative","Cons",3548,31,11558
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10004,"Labrador","Gray","Michelene","New Democratic Party","NDP",2796,24,11558
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10004,"Labrador","Jones","Yvonne","Liberal","Libs",4851,42,11558
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10005,"Long Range Mountains","Eisses","Josh","Conservative","Cons",10873,28,39002
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10005,"Long Range Mountains","Hutchings","Gudie","Liberal","Libs",18199,47,39002
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10005,"Long Range Mountains","Knill","Lucas","Green Party","Green",1334,4,39002
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10005,"Long Range Mountains","Miles","Robert","VCP","VCP",411,1,39002
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10005,"Long Range Mountains","Pike","Holly","New Democratic Party","NDP",7609,20,39002
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10006,"St. John's East","Harris","Jack","New Democratic Party","NDP",21148,47,45600
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10006,"St. John's East","Peters","David","Green Party","Green",821,2,45600
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10006,"St. John's East","Wall","Joedy","Conservative","Cons",8141,18,45600
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10006,"St. John's East","Whalen","Nick","Liberal","Libs",14962,33,45600
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10007,"St. John's South--Mount Pearl","Anonsen","Anne Marie","New Democratic Party","NDP",10890,27,41258
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10007,"St. John's South--Mount Pearl","Hayward","Alexandra","Green Party","Green",740,2,41258
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10007,"St. John's South--Mount Pearl","Jones","David","Christian Heritage Party","CHP",141,0,41258
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10007,"St. John's South--Mount Pearl","Martin","Terry","Conservative","Cons",7767,19,41258
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10007,"St. John's South--Mount Pearl","O'Regan","Seamus","Liberal","Libs",20793,51,41258
"Eastern Canada","Newfoundland and Labrador","NL","Maritimes",10007,"St. John's South--Mount Pearl","Ruckpaul","Benjamin","People's Party","PPC",335,1,41258
"Eastern Canada","Prince Edward Island","PE","Maritimes",11001,"Cardigan","Beaton","Glen","Green Party","Green",3068,14,22399
"Eastern Canada","Prince Edward Island","PE","Maritimes",11001,"Cardigan","MacAulay","Lawrence","Liberal","Libs",10939,49,22399
"Eastern Canada","Prince Edward Island","PE","Maritimes",11001,"Cardigan","Phelan","Wayne","Conservative","Cons",6439,29,22399
"Eastern Canada","Prince Edward Island","PE","Maritimes",11001,"Cardigan","Squires","Christene","Christian Heritage Party","CHP",240,1,22399
"Eastern Canada","Prince Edward Island","PE","Maritimes",11001,"Cardigan","Thiele","Lynne","New Democratic Party","NDP",1481,7,22399
"Eastern Canada","Prince Edward Island","PE","Maritimes",11002,"Charlottetown","Byrne","Joe","New Democratic Party","NDP",2238,11,20184
"Eastern Canada","Prince Edward Island","PE","Maritimes",11002,"Charlottetown","Campbell","Robert A.","Conservative","Cons",4040,20,20184
"Eastern Canada","Prince Edward Island","PE","Maritimes",11002,"Charlottetown","Casey","Sean","Liberal","Libs",8812,44,20184
"Eastern Canada","Prince Edward Island","PE","Maritimes",11002,"Charlottetown","Lanthier","Darcie","Green Party","Green",4648,23,20184
"Eastern Canada","Prince Edward Island","PE","Maritimes",11002,"Charlottetown","MacLeod","Fred","Christian Heritage Party","CHP",172,1,20184
"Eastern Canada","Prince Edward Island","PE","Maritimes",11003,"Egmont","Clark","Alex","Green Party","Green",3998,20,20452
"Eastern Canada","Prince Edward Island","PE","Maritimes",11003,"Egmont","Dunn","Sharon","New Democratic Party","NDP",1230,6,20452
"Eastern Canada","Prince Edward Island","PE","Maritimes",11003,"Egmont","McLellan","Logan","Conservative","Cons",6934,34,20452
"Eastern Canada","Prince Edward Island","PE","Maritimes",11003,"Egmont","Morrissey","Bobby","Liberal","Libs",8016,40,20452
"Eastern Canada","Prince Edward Island","PE","Maritimes",11004,"Malpeque","Easter","Wayne","Liberal","Libs",9533,41,23327
"Eastern Canada","Prince Edward Island","PE","Maritimes",11004,"Malpeque","Keenan","Anna","Green Party","Green",6103,26,23327
"Eastern Canada","Prince Edward Island","PE","Maritimes",11004,"Malpeque","Nash","Craig","New Democratic Party","NDP",1495,6,23327
"Eastern Canada","Prince Edward Island","PE","Maritimes",11004,"Malpeque","Stewart","Stephen","Conservative","Cons",5908,26,23327
"Eastern Canada","Nova Scotia","NS","Maritimes",12001,"Cape Breton--Canso","Dockrill","Michelle","Independent","Ind",685,2,43541
"Eastern Canada","Nova Scotia","NS","Maritimes",12001,"Cape Breton--Canso","Doucet","Clive","Green Party","Green",3321,8,43541
"Eastern Canada","Nova Scotia","NS","Maritimes",12001,"Cape Breton--Canso","Joyce","Billy","People's Party","PPC",925,2,43541
"Eastern Canada","Nova Scotia","NS","Maritimes",12001,"Cape Breton--Canso","Kelloway","Mike","Liberal","Libs",16694,39,43541
"Eastern Canada","Nova Scotia","NS","Maritimes",12001,"Cape Breton--Canso","LeBlanc","Darlene Lynn","National Citizens Alliance","NCA",140,0,43541
"Eastern Canada","Nova Scotia","NS","Maritimes",12001,"Cape Breton--Canso","MacLeod","Alfie","Conservative","Cons",14821,34,43541
"Eastern Canada","Nova Scotia","NS","Maritimes",12001,"Cape Breton--Canso","Suitor","Laurie","New Democratic Party","NDP",6354,15,43541
"Eastern Canada","Nova Scotia","NS","Maritimes",12002,"Central Nova","Canyon","George","Conservative","Cons",13201,30,44882
"Eastern Canada","Nova Scotia","NS","Maritimes",12002,"Central Nova","Fraser","Sean","Liberal","Libs",20718,47,44882
"Eastern Canada","Nova Scotia","NS","Maritimes",12002,"Central Nova","Frazer","Chris","Communist","Comm",180,0,44882
"Eastern Canada","Nova Scotia","NS","Maritimes",12002,"Central Nova","MacDonald","Betsy","New Democratic Party","NDP",5806,13,44882
"Eastern Canada","Nova Scotia","NS","Maritimes",12002,"Central Nova","Muir","Al","People's Party","PPC",938,2,44882
"Eastern Canada","Nova Scotia","NS","Maritimes",12002,"Central Nova","Randle","Barry","Green Party","Green",3478,8,44882
"Eastern Canada","Nova Scotia","NS","Maritimes",12002,"Central Nova","Slowik","Michael","Independent","Ind",149,0,44882
"Eastern Canada","Nova Scotia","NS","Maritimes",12003,"Cumberland--Colchester","Archer","William","People's Party","PPC",608,1,45897
"Eastern Canada","Nova Scotia","NS","Maritimes",12003,"Cumberland--Colchester","Armstrong","Scott","Conservative","Cons",16219,36,45897
"Eastern Canada","Nova Scotia","NS","Maritimes",12003,"Cumberland--Colchester","Blanch","Jason","Green Party","Green",6015,13,45897
"Eastern Canada","Nova Scotia","NS","Maritimes",12003,"Cumberland--Colchester","Duchesne","Larry","New Democratic Party","NDP",5451,12,45897
"Eastern Canada","Nova Scotia","NS","Maritimes",12003,"Cumberland--Colchester","Garvey","Stephen J","National Citizens Alliance","NCA",109,0,45897
"Eastern Canada","Nova Scotia","NS","Maritimes",12003,"Cumberland--Colchester","O'Blenis","Jody","VCP","VCP",144,0,45897
"Eastern Canada","Nova Scotia","NS","Maritimes",12003,"Cumberland--Colchester","Rushton","Matthew V.","Independent","Ind",232,0,45897
"Eastern Canada","Nova Scotia","NS","Maritimes",12003,"Cumberland--Colchester","Zann","Lenore","Liberal","Libs",16672,37,45897
"Eastern Canada","Nova Scotia","NS","Maritimes",12004,"Dartmouth--Cole Harbour","Cole","Jason","Conservative","Cons",8638,16,53903
"Eastern Canada","Nova Scotia","NS","Maritimes",12004,"Dartmouth--Cole Harbour","Fisher","Darren","Liberal","Libs",24259,45,53903
"Eastern Canada","Nova Scotia","NS","Maritimes",12004,"Dartmouth--Cole Harbour","Lindsay","Michelle","People's Party","PPC",887,2,53903
"Eastern Canada","Nova Scotia","NS","Maritimes",12004,"Dartmouth--Cole Harbour","MacPherson","Lil","Green Party","Green",5280,10,53903
"Eastern Canada","Nova Scotia","NS","Maritimes",12004,"Dartmouth--Cole Harbour","Norton","Emma","New Democratic Party","NDP",14435,27,53903
"Eastern Canada","Nova Scotia","NS","Maritimes",12005,"Halifax","Fillmore","Andy","Liberal","Libs",23681,42,56113
"Eastern Canada","Nova Scotia","NS","Maritimes",12005,"Halifax","Holland","Bruce","Conservative","Cons",6456,12,56113
"Eastern Canada","Nova Scotia","NS","Maritimes",12005,"Halifax","McGenn","Duncan","People's Party","PPC",633,1,56113
"Eastern Canada","Nova Scotia","NS","Maritimes",12005,"Halifax","Roberts","Jo-Ann","Green Party","Green",8013,14,56113
"Eastern Canada","Nova Scotia","NS","Maritimes",12005,"Halifax","Saulnier","Christine","New Democratic Party","NDP",16747,30,56113
"Eastern Canada","Nova Scotia","NS","Maritimes",12005,"Halifax","Wilson","Bill","Animal Protection Party","APP",222,0,56113
"Eastern Canada","Nova Scotia","NS","Maritimes",12006,"Halifax West","Regan","Geoff","Liberal","Libs",26885,50,54822
"Eastern Canada","Nova Scotia","NS","Maritimes",12006,"Halifax West","Shuman","Fred","Conservative","Cons",10488,19,54822
"Eastern Canada","Nova Scotia","NS","Maritimes",12006,"Halifax West","Wilson","Jacob","New Democratic Party","NDP",10429,19,54822
"Eastern Canada","Nova Scotia","NS","Maritimes",12006,"Halifax West","Zurawski","Richard","Green Party","Green",6555,12,54822
"Eastern Canada","Nova Scotia","NS","Maritimes",12007,"Kings--Hants","Anderson","Brogan","Green Party","Green",6029,13,48363
"Eastern Canada","Nova Scotia","NS","Maritimes",12007,"Kings--Hants","Blois","Kody","Liberal","Libs",20806,43,48363
"Eastern Canada","Nova Scotia","NS","Maritimes",12007,"Kings--Hants","Dodge","Stacey","VCP","VCP",118,0,48363
"Eastern Canada","Nova Scotia","NS","Maritimes",12007,"Kings--Hants","MacQuarrie","Martha","Conservative","Cons",11905,25,48363
"Eastern Canada","Nova Scotia","NS","Maritimes",12007,"Kings--Hants","Schneider","Stephen","New Democratic Party","NDP",8254,17,48363
"Eastern Canada","Nova Scotia","NS","Maritimes",12007,"Kings--Hants","Southall","Matthew","People's Party","PPC",786,2,48363
"Eastern Canada","Nova Scotia","NS","Maritimes",12007,"Kings--Hants","Tan","Nicholas","Parti Rhinocéros Party","PRP",138,0,48363
"Eastern Canada","Nova Scotia","NS","Maritimes",12008,"Sackville--Preston--Chezzetcook","Copley","Kevin","Conservative","Cons",11211,23,49857
"Eastern Canada","Nova Scotia","NS","Maritimes",12008,"Sackville--Preston--Chezzetcook","Edmonds","Anthony","Green Party","Green",5725,12,49857
"Eastern Canada","Nova Scotia","NS","Maritimes",12008,"Sackville--Preston--Chezzetcook","Hogg","Sybil","People's Party","PPC",816,2,49857
"Eastern Canada","Nova Scotia","NS","Maritimes",12008,"Sackville--Preston--Chezzetcook","Samson","Darrell","Liberal","Libs",19925,40,49857
"Eastern Canada","Nova Scotia","NS","Maritimes",12008,"Sackville--Preston--Chezzetcook","Stickland","Matt","New Democratic Party","NDP",11860,24,49857
"Eastern Canada","Nova Scotia","NS","Maritimes",12009,"South Shore--St. Margarets","Foster","Steven","Independent","Ind",376,1,52957
"Eastern Canada","Nova Scotia","NS","Maritimes",12009,"South Shore--St. Margarets","Hepburn","Jessika","New Democratic Party","NDP",8361,16,52957
"Eastern Canada","Nova Scotia","NS","Maritimes",12009,"South Shore--St. Margarets","Jordan","Bernadette","Liberal","Libs",21886,42,52957
"Eastern Canada","Nova Scotia","NS","Maritimes",12009,"South Shore--St. Margarets","Matthews","Jason","VCP","VCP",125,0,52957
"Eastern Canada","Nova Scotia","NS","Maritimes",12009,"South Shore--St. Margarets","McMahon","Shawn","Independent","Ind",165,0,52957
"Eastern Canada","Nova Scotia","NS","Maritimes",12009,"South Shore--St. Margarets","Monk","Robert","People's Party","PPC",667,1,52957
"Eastern Canada","Nova Scotia","NS","Maritimes",12009,"South Shore--St. Margarets","Perkins","Rick","Conservative","Cons",14744,28,52957
"Eastern Canada","Nova Scotia","NS","Maritimes",12009,"South Shore--St. Margarets","Schulthies","Kevin","Christian Heritage Party","CHP",124,0,52957
"Eastern Canada","Nova Scotia","NS","Maritimes",12009,"South Shore--St. Margarets","Trappenberg","Thomas","Green Party","Green",6070,12,52957
"Eastern Canada","Nova Scotia","NS","Maritimes",12010,"Sydney--Victoria","Battiste","Jaime","Liberal","Libs",12536,31,41093
"Eastern Canada","Nova Scotia","NS","Maritimes",12010,"Sydney--Victoria","Foster","Lois","Green Party","Green",2249,6,41093
"Eastern Canada","Nova Scotia","NS","Maritimes",12010,"Sydney--Victoria","Joy","Randy","VCP","VCP",248,1,41093
"Eastern Canada","Nova Scotia","NS","Maritimes",12010,"Sydney--Victoria","MacKinnon","Archie","Independent","Ind",5679,14,41093
"Eastern Canada","Nova Scotia","NS","Maritimes",12010,"Sydney--Victoria","MacNeil","Kenzie","Independent","Ind",480,1,41093
"Eastern Canada","Nova Scotia","NS","Maritimes",12010,"Sydney--Victoria","McDavid","Jodi","New Democratic Party","NDP",8146,20,41093
"Eastern Canada","Nova Scotia","NS","Maritimes",12010,"Sydney--Victoria","Orrell","Eddie","Conservative","Cons",11227,28,41093
"Eastern Canada","Nova Scotia","NS","Maritimes",12011,"West Nova","Cook","Gloria Jane","VCP","VCP",434,1,47310
"Eastern Canada","Nova Scotia","NS","Maritimes",12011,"West Nova","Deveau","Jason","Liberal","Libs",17025,36,47310
"Eastern Canada","Nova Scotia","NS","Maritimes",12011,"West Nova","Dubois","Matthew","New Democratic Party","NDP",5010,11,47310
"Eastern Canada","Nova Scotia","NS","Maritimes",12011,"West Nova","Green","Judy N","Green Party","Green",5939,13,47310
"Eastern Canada","Nova Scotia","NS","Maritimes",12011,"West Nova","d'Entremont","Chris","Conservative","Cons",18390,39,47310
"Eastern Canada","New Brunswick","NB","Maritimes",13001,"Acadie--Bathurst","Cormier","Serge","Liberal","Libs",26547,55,49067
"Eastern Canada","New Brunswick","NB","Maritimes",13001,"Acadie--Bathurst","Kryszko","Robert","Green Party","Green",4277,9,49067
"Eastern Canada","New Brunswick","NB","Maritimes",13001,"Acadie--Bathurst","Savoie","Martine","Conservative","Cons",10352,22,49067
"Eastern Canada","New Brunswick","NB","Maritimes",13001,"Acadie--Bathurst","Thériault","Daniel","New Democratic Party","NDP",6967,14,49067
"Eastern Canada","New Brunswick","NB","Maritimes",13002,"Beauséjour","Bélanger","Jean-Marc","New Democratic Party","NDP",3940,7,54160
"Eastern Canada","New Brunswick","NB","Maritimes",13002,"Beauséjour","Cormier","Vincent","Conservative","Cons",9438,18,54160
"Eastern Canada","New Brunswick","NB","Maritimes",13002,"Beauséjour","LeBlanc","Dominic","Liberal","Libs",24948,46,54160
"Eastern Canada","New Brunswick","NB","Maritimes",13002,"Beauséjour","Mercier","Nancy","People's Party","PPC",1054,2,54160
"Eastern Canada","New Brunswick","NB","Maritimes",13002,"Beauséjour","Reinsborough","Laura","Green Party","Green",14305,27,54160
"Eastern Canada","New Brunswick","NB","Maritimes",13003,"Fredericton","Atwin","Jenica","Green Party","Green",16640,34,49710
"Eastern Canada","New Brunswick","NB","Maritimes",13003,"Fredericton","DeCourcey","Matt","Liberal","Libs",13544,27,49710
"Eastern Canada","New Brunswick","NB","Maritimes",13003,"Fredericton","Johnson","Andrea","Conservative","Cons",15011,30,49710
"Eastern Canada","New Brunswick","NB","Maritimes",13003,"Fredericton","Kirby","Brandon","Libertarian","Libert",126,0,49710
"Eastern Canada","New Brunswick","NB","Maritimes",13003,"Fredericton","Patterson","Jacob","Communist","Comm",80,0,49710
"Eastern Canada","New Brunswick","NB","Maritimes",13003,"Fredericton","Paull","Jason","People's Party","PPC",776,2,49710
"Eastern Canada","New Brunswick","NB","Maritimes",13003,"Fredericton","Thomas","Lesley","Animal Protection Party","APP",286,1,49710
"Eastern Canada","New Brunswick","NB","Maritimes",13003,"Fredericton","Thomason","Mackenzie","New Democratic Party","NDP",2946,6,49710
"Eastern Canada","New Brunswick","NB","Maritimes",13004,"Fundy Royal","Amos","David Raymond","Independent","Ind",295,1,48995
"Eastern Canada","New Brunswick","NB","Maritimes",13004,"Fundy Royal","Evans","John","National Citizens Alliance","NCA",201,0,48995
"Eastern Canada","New Brunswick","NB","Maritimes",13004,"Fundy Royal","Lockhart","Alaina","Liberal","Libs",12433,26,48995
"Eastern Canada","New Brunswick","NB","Maritimes",13004,"Fundy Royal","Moore","Rob","Conservative","Cons",22389,46,48995
"Eastern Canada","New Brunswick","NB","Maritimes",13004,"Fundy Royal","Neumayer","Rudy","People's Party","PPC",1249,3,48995
"Eastern Canada","New Brunswick","NB","Maritimes",13004,"Fundy Royal","Thompson","Tim","Green Party","Green",7275,15,48995
"Eastern Canada","New Brunswick","NB","Maritimes",13004,"Fundy Royal","Tolan","James","New Democratic Party","NDP",4804,10,48995
"Eastern Canada","New Brunswick","NB","Maritimes",13005,"Madawaska--Restigouche","Arseneault","René","Liberal","Libs",17331,50,35126
"Eastern Canada","New Brunswick","NB","Maritimes",13005,"Madawaska--Restigouche","Betteridge","Chad","New Democratic Party","NDP",2212,6,35126
"Eastern Canada","New Brunswick","NB","Maritimes",13005,"Madawaska--Restigouche","Bérubé","Louis","Green Party","Green",5125,15,35126
"Eastern Canada","New Brunswick","NB","Maritimes",13005,"Madawaska--Restigouche","Fox","Nelson","Conservative","Cons",9801,28,35126
"Eastern Canada","New Brunswick","NB","Maritimes",13006,"Miramichi--Grand Lake","Clancy Teslenko","Eileen","New Democratic Party","NDP",2875,8,35115
"Eastern Canada","New Brunswick","NB","Maritimes",13006,"Miramichi--Grand Lake","Deitch","Patty","Green Party","Green",3914,11,35115
"Eastern Canada","New Brunswick","NB","Maritimes",13006,"Miramichi--Grand Lake","Finnigan","Pat","Liberal","Libs",12722,37,35115
"Eastern Canada","New Brunswick","NB","Maritimes",13006,"Miramichi--Grand Lake","Lawson","Mathew Grant","Independent","Ind",396,1,35115
"Eastern Canada","New Brunswick","NB","Maritimes",13006,"Miramichi--Grand Lake","MacKenzie","Allison","Independent","Ind",1160,3,35115
"Eastern Canada","New Brunswick","NB","Maritimes",13006,"Miramichi--Grand Lake","McLean","Peggy","Conservative","Cons",12352,36,35115
"Eastern Canada","New Brunswick","NB","Maritimes",13006,"Miramichi--Grand Lake","Nowlan","Ron","People's Party","PPC",1179,3,35115
"Eastern Canada","New Brunswick","NB","Maritimes",13007,"Moncton--Riverview--Dieppe","Driver","Stephen","People's Party","PPC",1258,2,52224
"Eastern Canada","New Brunswick","NB","Maritimes",13007,"Moncton--Riverview--Dieppe","Godin-Charest","Sylvie","Conservative","Cons",12200,24,52224
"Eastern Canada","New Brunswick","NB","Maritimes",13007,"Moncton--Riverview--Dieppe","Kelly","Claire","Green Party","Green",9287,18,52224
"Eastern Canada","New Brunswick","NB","Maritimes",13007,"Moncton--Riverview--Dieppe","MacDonald","Brad","Animal Protection Party","APP",373,1,52224
"Eastern Canada","New Brunswick","NB","Maritimes",13007,"Moncton--Riverview--Dieppe","MacLaren","Luke","New Democratic Party","NDP",6164,12,52224
"Eastern Canada","New Brunswick","NB","Maritimes",13007,"Moncton--Riverview--Dieppe","Petitpas Taylor","Ginette","Liberal","Libs",22261,43,52224
"Eastern Canada","New Brunswick","NB","Maritimes",13007,"Moncton--Riverview--Dieppe","Williams","Rhys","Christian Heritage Party","CHP",285,0,52224
"Eastern Canada","New Brunswick","NB","Maritimes",13008,"New Brunswick Southwest","Jonah","Susan","Green Party","Green",5352,14,39879
"Eastern Canada","New Brunswick","NB","Maritimes",13008,"New Brunswick Southwest","Ludwig","Karen","Liberal","Libs",10110,26,39879
"Eastern Canada","New Brunswick","NB","Maritimes",13008,"New Brunswick Southwest","Mullin","Douglas","New Democratic Party","NDP",3251,8,39879
"Eastern Canada","New Brunswick","NB","Maritimes",13008,"New Brunswick Southwest","Sarty","Meryl","People's Party","PPC",1214,3,39879
"Eastern Canada","New Brunswick","NB","Maritimes",13008,"New Brunswick Southwest","Scott","Abe","VCP","VCP",200,0,39879
"Eastern Canada","New Brunswick","NB","Maritimes",13008,"New Brunswick Southwest","Williamson","John","Conservative","Cons",19451,49,39879
"Eastern Canada","New Brunswick","NB","Maritimes",13009,"Saint John--Rothesay","Barnett","Neville","Independent","Ind",150,0,41503
"Eastern Canada","New Brunswick","NB","Maritimes",13009,"Saint John--Rothesay","Cormier","Armand","New Democratic Party","NDP",5046,12,41503
"Eastern Canada","New Brunswick","NB","Maritimes",13009,"Saint John--Rothesay","Jamieson","Stuart","Independent","Ind",1183,3,41503
"Eastern Canada","New Brunswick","NB","Maritimes",13009,"Saint John--Rothesay","Long","Wayne","Liberal","Libs",15443,37,41503
"Eastern Canada","New Brunswick","NB","Maritimes",13009,"Saint John--Rothesay","McAllister","Ann","Green Party","Green",4165,10,41503
"Eastern Canada","New Brunswick","NB","Maritimes",13009,"Saint John--Rothesay","Salesse","Adam J. C.","People's Party","PPC",1260,3,41503
"Eastern Canada","New Brunswick","NB","Maritimes",13009,"Saint John--Rothesay","Weston","Rodney","Conservative","Cons",14006,34,41503
"Eastern Canada","New Brunswick","NB","Maritimes",13010,"Tobique--Mactaquac","Aiken","Megan","New Democratic Party","NDP",3007,8,38577
"Eastern Canada","New Brunswick","NB","Maritimes",13010,"Tobique--Mactaquac","Bragdon","Richard","Conservative","Cons",19229,50,38577
"Eastern Canada","New Brunswick","NB","Maritimes",13010,"Tobique--Mactaquac","Guay","Dominic","People's Party","PPC",936,2,38577
"Eastern Canada","New Brunswick","NB","Maritimes",13010,"Tobique--Mactaquac","MacDonald","Kelsey","Liberal","Libs",9631,25,38577
"Eastern Canada","New Brunswick","NB","Maritimes",13010,"Tobique--Mactaquac","Miller","Rowan P.","Green Party","Green",5398,14,38577
"Eastern Canada","Quebec","QC","Quebec",24001,"Abitibi--Baie-James--Nunavik--Eeyou","Bergeron","Isabelle","Liberal","Libs",8963,28,32484
"Eastern Canada","Quebec","QC","Quebec",24001,"Abitibi--Baie-James--Nunavik--Eeyou","Bérubé","Sylvie","Bloc Québécois","Bloc",11432,36,32484
"Eastern Canada","Quebec","QC","Quebec",24001,"Abitibi--Baie-James--Nunavik--Eeyou","Cabana-Whiteley","Kiara","Green Party","Green",1151,4,32484
"Eastern Canada","Quebec","QC","Quebec",24001,"Abitibi--Baie-James--Nunavik--Eeyou","Ferron","Martin","Conservative","Cons",5240,17,32484
"Eastern Canada","Quebec","QC","Quebec",24001,"Abitibi--Baie-James--Nunavik--Eeyou","Lanouette","Guillaume","People's Party","PPC",379,1,32484
"Eastern Canada","Quebec","QC","Quebec",24001,"Abitibi--Baie-James--Nunavik--Eeyou","Rouleau","Jacline","New Democratic Party","NDP",4104,13,32484
"Eastern Canada","Quebec","QC","Quebec",24001,"Abitibi--Baie-James--Nunavik--Eeyou","Simon","Daniel","Radical Marijuana","RM",387,1,32484
"Eastern Canada","Quebec","QC","Quebec",24002,"Abitibi--Témiscamingue","Bégin","Aline","Green Party","Green",1818,4,51212
"Eastern Canada","Quebec","QC","Quebec",24002,"Abitibi--Témiscamingue","Girard","Jacques","People's Party","PPC",487,1,51212
"Eastern Canada","Quebec","QC","Quebec",24002,"Abitibi--Témiscamingue","Guimond","Alain","New Democratic Party","NDP",5093,10,51212
"Eastern Canada","Quebec","QC","Quebec",24002,"Abitibi--Témiscamingue","Lemire","Sébastien","Bloc Québécois","Bloc",22803,46,51212
"Eastern Canada","Quebec","QC","Quebec",24002,"Abitibi--Témiscamingue","Provencher","Mario","Conservative","Cons",7537,15,51212
"Eastern Canada","Quebec","QC","Quebec",24002,"Abitibi--Témiscamingue","Thibault","Claude","Liberal","Libs",12417,25,51212
"Eastern Canada","Quebec","QC","Quebec",24003,"Ahuntsic-Cartierville","Ayas","Raymond","People's Party","PPC",584,1,56133
"Eastern Canada","Quebec","QC","Quebec",24003,"Ahuntsic-Cartierville","El-Masri","Zahia","New Democratic Party","NDP",6284,11,56133
"Eastern Canada","Quebec","QC","Quebec",24003,"Ahuntsic-Cartierville","Joly","Mélanie","Liberal","Libs",28904,52,56133
"Eastern Canada","Quebec","QC","Quebec",24003,"Ahuntsic-Cartierville","Laframboise","Kathy","Conservative","Cons",4013,7,56133
"Eastern Canada","Quebec","QC","Quebec",24003,"Ahuntsic-Cartierville","Lavarenne","Jean-Michel","Green Party","Green",3352,6,56133
"Eastern Canada","Quebec","QC","Quebec",24003,"Ahuntsic-Cartierville","Parizeau","André","Bloc Québécois","Bloc",11974,22,56133
"Eastern Canada","Quebec","QC","Quebec",24004,"Alfred-Pellan","Buté","Julius","Pour l'Indépendance du Québec","Pl",177,0,55282
"Eastern Canada","Quebec","QC","Quebec",24004,"Alfred-Pellan","Cappelletti","Dwayne","Independent","Ind",113,0,55282
"Eastern Canada","Quebec","QC","Quebec",24004,"Alfred-Pellan","Couture","Matthieu","People's Party","PPC",471,1,55282
"Eastern Canada","Quebec","QC","Quebec",24004,"Alfred-Pellan","Esposito","Angelo","Conservative","Cons",5917,11,55282
"Eastern Canada","Quebec","QC","Quebec",24004,"Alfred-Pellan","Howells","Marguerite","Green Party","Green",1958,4,55282
"Eastern Canada","Quebec","QC","Quebec",24004,"Alfred-Pellan","Iacono","Angelo","Liberal","Libs",26015,48,55282
"Eastern Canada","Quebec","QC","Quebec",24004,"Alfred-Pellan","Kocini","Andriana","New Democratic Party","NDP",4109,8,55282
